experiment,treatment,tunnel,time,4_methylphenol_mgm2
Experiment 1,U-CM,4,0,4.05559844976601
Experiment 1,U-CM,4,1.583333333,7.78591239787332
Experiment 1,U-CM,4,3.166666666,11.0205591140787
Experiment 1,U-CM,4,4.749999999,14.0460887573922
Experiment 1,U-CM,4,6.333333332,16.6945576097526
Experiment 1,U-CM,4,7.916666665,18.7719652744428
Experiment 1,U-CM,4,11.083333331,20.4496085374718
Experiment 1,U-CM,4,12.666666664,21.7469969668806
Experiment 1,U-CM,4,14.249999997,22.7529375396846
Experiment 1,U-CM,4,15.83333333,23.6170863477286
Experiment 1,U-CM,6,0,6.0077000016734
Experiment 1,U-CM,6,1.583333333,10.8809227390931
Experiment 1,U-CM,6,3.166666666,15.2321642213625
Experiment 1,U-CM,6,4.749999999,19.2986037453643
Experiment 1,U-CM,6,6.333333332,22.9412084827226
Experiment 1,U-CM,6,7.916666665,25.8754402838236
Experiment 1,U-CM,6,11.083333331,28.1380701965858
Experiment 1,U-CM,6,12.666666664,29.9394807510378
Experiment 1,U-CM,6,14.249999997,31.3656531456683
Experiment 1,U-CM,6,15.83333333,32.6142527126877
Experiment 1,U-CM,9,0,4.93626349697665
Experiment 1,U-CM,9,1.583333333,9.37469397356931
Experiment 1,U-CM,9,3.166666666,13.3200455127894
Experiment 1,U-CM,9,4.749999999,16.8030628304586
Experiment 1,U-CM,9,6.333333332,19.9186088392173
Experiment 1,U-CM,9,7.916666665,22.501962998789
Experiment 1,U-CM,9,11.083333331,24.4629590056071
Experiment 1,U-CM,9,12.666666664,26.0816619724249
Experiment 1,U-CM,9,14.249999997,27.4138364207863
Experiment 1,U-CM,9,15.83333333,28.6047028316549
Experiment 1,D-CM,1,0,3.8503964902832
Experiment 1,D-CM,1,1.583333333,7.51277254333118
Experiment 1,D-CM,1,3.166666666,10.8976771180319
Experiment 1,D-CM,1,4.749999999,13.8483338183004
Experiment 1,D-CM,1,6.333333332,16.3672435801541
Experiment 1,D-CM,1,7.916666665,18.3650026719164
Experiment 1,D-CM,1,11.083333331,19.9392889644779
Experiment 1,D-CM,1,12.666666664,21.1705368826461
Experiment 1,D-CM,1,14.249999997,22.0818311357104
Experiment 1,D-CM,1,15.83333333,22.7136327201901
Experiment 1,D-CM,5,0,5.6587430295414
Experiment 1,D-CM,5,1.583333333,10.5492294952079
Experiment 1,D-CM,5,3.166666666,14.6838443045847
Experiment 1,D-CM,5,4.749999999,18.2566653294447
Experiment 1,D-CM,5,6.333333332,21.3804162463821
Experiment 1,D-CM,5,7.916666665,23.8581766828511
Experiment 1,D-CM,5,11.083333331,25.7010605620592
Experiment 1,D-CM,5,12.666666664,27.0528367147581
Experiment 1,D-CM,5,14.249999997,28.0580365904307
Experiment 1,D-CM,5,15.83333333,28.844452155067
Experiment 1,D-CM,8,0,4.67578781621205
Experiment 1,D-CM,8,1.583333333,8.80031606658697
Experiment 1,D-CM,8,3.166666666,12.4268520839333
Experiment 1,D-CM,8,4.749999999,15.436056974191
Experiment 1,D-CM,8,6.333333332,18.0474479230769
Experiment 1,D-CM,8,7.916666665,20.17394479481
Experiment 1,D-CM,8,11.083333331,21.7769024788949
Experiment 1,D-CM,8,12.666666664,23.0205695922789
Experiment 1,D-CM,8,14.249999997,23.9762212188616
Experiment 1,D-CM,8,15.83333333,24.7773897391121
Experiment 1,D-CM-CC,2,0,2.17217605214169
Experiment 1,D-CM-CC,2,1.583333333,4.12620773533338
Experiment 1,D-CM-CC,2,3.166666666,5.72960755185508
Experiment 1,D-CM-CC,2,4.749999999,7.04089399448607
Experiment 1,D-CM-CC,2,6.333333332,8.01936104130407
Experiment 1,D-CM-CC,2,7.916666665,8.60481942700202
Experiment 1,D-CM-CC,2,11.083333331,8.95333440722026
Experiment 1,D-CM-CC,2,12.666666664,9.19749606152394
Experiment 1,D-CM-CC,2,14.249999997,9.39211855389665
Experiment 1,D-CM-CC,2,15.83333333,9.55981209404227
Experiment 1,D-CM-CC,3,0,2.08739599806233
Experiment 1,D-CM-CC,3,1.583333333,3.86110664385359
Experiment 1,D-CM-CC,3,3.166666666,5.39568912506787
Experiment 1,D-CM-CC,3,4.749999999,6.67463713283581
Experiment 1,D-CM-CC,3,6.333333332,7.67020513533806
Experiment 1,D-CM-CC,3,7.916666665,8.31773645133035
Experiment 1,D-CM-CC,3,11.083333331,8.65771821462425
Experiment 1,D-CM-CC,3,12.666666664,8.8964533361588
Experiment 1,D-CM-CC,3,14.249999997,9.10569603668027
Experiment 1,D-CM-CC,3,15.83333333,9.24411150034412
Experiment 1,D-CM-CC,7,0,2.48954929200862
Experiment 1,D-CM-CC,7,1.583333333,4.69324139113398
Experiment 1,D-CM-CC,7,3.166666666,6.54537716911605
Experiment 1,D-CM-CC,7,4.749999999,8.06274829034969
Experiment 1,D-CM-CC,7,6.333333332,9.26054642349108
Experiment 1,D-CM-CC,7,7.916666665,10.0831172639287
Experiment 1,D-CM-CC,7,11.083333331,10.5744876280662
Experiment 1,D-CM-CC,7,12.666666664,10.9098916179675
Experiment 1,D-CM-CC,7,14.249999997,11.1240250836119
Experiment 1,D-CM-CC,7,15.83333333,11.2739106027979
Experiment 2,U-CM,1,0,18.8751830393414
Experiment 2,U-CM,1,1.616666667,33.4802971137882
Experiment 2,U-CM,1,3.416666667,45.7999945456976
Experiment 2,U-CM,1,5.216666667,55.8705956328032
Experiment 2,U-CM,1,7.016666667,63.297503374603
Experiment 2,U-CM,1,8.816666667,68.0500090007373
Experiment 2,U-CM,1,10.616666667,71.0457587999628
Experiment 2,U-CM,1,12.416666667,73.0919156027765
Experiment 2,U-CM,1,14.216666667,74.5801860799459
Experiment 2,U-CM,1,16.016666667,75.7696064338896
Experiment 2,U-CM,1,17.816666667,76.7882490545533
Experiment 2,U-CM,1,19.616666667,77.3409639796432
Experiment 2,U-CM,1,26.816666667,77.6955667485091
Experiment 2,U-CM,1,28.616666667,78.1772613496254
Experiment 2,U-CM,1,30.416666667,78.5996399224285
Experiment 2,U-CM,1,34.016666667,78.9312485192881
Experiment 2,U-CM,1,35.816666667,79.2077895979123
Experiment 2,U-CM,4,0,19.7363701828904
Experiment 2,U-CM,4,1.616666667,34.8821219040096
Experiment 2,U-CM,4,3.416666667,47.7770631898737
Experiment 2,U-CM,4,5.216666667,58.0017773843063
Experiment 2,U-CM,4,7.016666667,65.0599874248355
Experiment 2,U-CM,4,8.816666667,69.4637682897136
Experiment 2,U-CM,4,10.616666667,72.2157946380825
Experiment 2,U-CM,4,12.416666667,74.3150774602693
Experiment 2,U-CM,4,14.216666667,76.0074652235416
Experiment 2,U-CM,4,16.016666667,77.3287684108728
Experiment 2,U-CM,4,17.816666667,78.4200208317412
Experiment 2,U-CM,4,19.616666667,79.3351174196853
Experiment 2,U-CM,4,26.816666667,80.1368850241443
Experiment 2,U-CM,4,28.616666667,80.7394866079866
Experiment 2,U-CM,4,30.416666667,81.1305707988376
Experiment 2,U-CM,4,34.016666667,81.416266293163
Experiment 2,U-CM,4,35.816666667,81.6465076892857
Experiment 2,U-CM,5,0,18.7304238630358
Experiment 2,U-CM,5,1.616666667,31.6574586311819
Experiment 2,U-CM,5,3.416666667,40.6034516035077
Experiment 2,U-CM,5,5.216666667,46.5848556228506
Experiment 2,U-CM,5,7.016666667,49.9762393934673
Experiment 2,U-CM,5,8.816666667,51.8880072842237
Experiment 2,U-CM,5,10.616666667,53.4068004882403
Experiment 2,U-CM,5,12.416666667,54.7735008365395
Experiment 2,U-CM,5,14.216666667,55.9599947269248
Experiment 2,U-CM,5,16.016666667,57.0526462989133
Experiment 2,U-CM,5,17.816666667,58.1207194358239
Experiment 2,U-CM,5,19.616666667,59.1891300486797
Experiment 2,U-CM,5,26.816666667,60.0056100493615
Experiment 2,U-CM,5,28.616666667,60.5899039304235
Experiment 2,U-CM,5,30.416666667,60.9378779250424
Experiment 2,U-CM,5,34.016666667,61.1176278284143
Experiment 2,U-CM,5,35.816666667,61.3454153312068
Experiment 2,D-CM,3,0,15.223479231709
Experiment 2,D-CM,3,1.616666667,25.2024118521312
Experiment 2,D-CM,3,3.416666667,33.353810921695
Experiment 2,D-CM,3,5.216666667,38.7823919011093
Experiment 2,D-CM,3,7.016666667,41.0927132580213
Experiment 2,D-CM,3,8.816666667,42.9366266100078
Experiment 2,D-CM,3,10.616666667,44.494930350442
Experiment 2,D-CM,3,12.416666667,45.7331026678999
Experiment 2,D-CM,3,14.216666667,47.126347941059
Experiment 2,D-CM,3,16.016666667,48.2886796608883
Experiment 2,D-CM,3,17.816666667,48.8151934788454
Experiment 2,D-CM,3,19.616666667,49.1094282360422
Experiment 2,D-CM,3,26.816666667,49.2013864361613
Experiment 2,D-CM,3,28.616666667,49.2729597312571
Experiment 2,D-CM,3,30.416666667,49.4416146874559
Experiment 2,D-CM,3,34.016666667,49.613308808199
Experiment 2,D-CM,3,35.816666667,49.7344704295854
Experiment 2,D-CM,7,0,13.3176062420657
Experiment 2,D-CM,7,1.616666667,22.1319325031934
Experiment 2,D-CM,7,3.416666667,27.9187602321019
Experiment 2,D-CM,7,5.216666667,31.3195171919757
Experiment 2,D-CM,7,7.016666667,33.5920237941614
Experiment 2,D-CM,7,8.816666667,35.3299095957267
Experiment 2,D-CM,7,10.616666667,36.7574230090398
Experiment 2,D-CM,7,12.416666667,37.8613511467985
Experiment 2,D-CM,7,14.216666667,38.8435291673219
Experiment 2,D-CM,7,16.016666667,39.6707066610245
Experiment 2,D-CM,7,17.816666667,40.2177895823097
Experiment 2,D-CM,7,19.616666667,40.4704260132951
Experiment 2,D-CM,7,26.816666667,40.6090949831072
Experiment 2,D-CM,7,28.616666667,40.7437573979386
Experiment 2,D-CM,7,30.416666667,40.8256397429656
Experiment 2,D-CM,7,34.016666667,40.897818463243
Experiment 2,D-CM,7,35.816666667,40.969374990238
Experiment 2,D-CM,9,0,16.8655988081895
Experiment 2,D-CM,9,1.616666667,28.0679810310155
Experiment 2,D-CM,9,3.416666667,35.1344393290411
Experiment 2,D-CM,9,5.216666667,39.1533559115386
Experiment 2,D-CM,9,7.016666667,41.6744275745696
Experiment 2,D-CM,9,8.816666667,43.5319620526225
Experiment 2,D-CM,9,10.616666667,45.1434916686205
Experiment 2,D-CM,9,12.416666667,46.4007172781657
Experiment 2,D-CM,9,14.216666667,47.364877060625
Experiment 2,D-CM,9,16.016666667,48.199082753337
Experiment 2,D-CM,9,17.816666667,48.8908196740899
Experiment 2,D-CM,9,19.616666667,49.4285223656655
Experiment 2,D-CM,9,26.816666667,49.7126998094203
Experiment 2,D-CM,9,28.616666667,49.8880012216135
Experiment 2,D-CM,9,30.416666667,50.0373761401554
Experiment 2,D-CM,9,34.016666667,50.130001678444
Experiment 2,D-CM,9,35.816666667,50.2319301806098
Experiment 2,D-CM-CC,2,0,8.12014784397399
Experiment 2,D-CM-CC,2,1.616666667,13.1453029878111
Experiment 2,D-CM-CC,2,3.416666667,15.7176546742866
Experiment 2,D-CM-CC,2,5.216666667,17.0378502533119
Experiment 2,D-CM-CC,2,7.016666667,18.0492209463199
Experiment 2,D-CM-CC,2,8.816666667,18.7667803125082
Experiment 2,D-CM-CC,2,10.616666667,19.2972372317994
Experiment 2,D-CM-CC,2,12.416666667,19.7716867772167
Experiment 2,D-CM-CC,2,14.216666667,20.0991250076482
Experiment 2,D-CM-CC,2,16.016666667,20.2680450109119
Experiment 2,D-CM-CC,2,17.816666667,20.3983725312823
Experiment 2,D-CM-CC,2,19.616666667,20.5036785696695
Experiment 2,D-CM-CC,2,26.816666667,20.5528459736323
Experiment 2,D-CM-CC,2,28.616666667,20.6551560038375
Experiment 2,D-CM-CC,2,30.416666667,20.8391494728471
Experiment 2,D-CM-CC,2,34.016666667,20.9925152531473
Experiment 2,D-CM-CC,2,35.816666667,21.1323553565707
Experiment 2,D-CM-CC,6,0,6.99268497793059
Experiment 2,D-CM-CC,6,1.616666667,10.5486902778087
Experiment 2,D-CM-CC,6,3.416666667,12.0287164207875
Experiment 2,D-CM-CC,6,5.216666667,12.6980830288778
Experiment 2,D-CM-CC,6,7.016666667,13.2946216543906
Experiment 2,D-CM-CC,6,8.816666667,13.8117015166395
Experiment 2,D-CM-CC,6,10.616666667,14.2515080581086
Experiment 2,D-CM-CC,6,12.416666667,14.6272631950775
Experiment 2,D-CM-CC,6,14.216666667,14.9443088575368
Experiment 2,D-CM-CC,6,16.016666667,15.1979607618463
Experiment 2,D-CM-CC,6,17.816666667,15.4827313592558
Experiment 2,D-CM-CC,6,19.616666667,15.7460731477878
Experiment 2,D-CM-CC,6,26.816666667,15.8459364326033
Experiment 2,D-CM-CC,6,28.616666667,15.9144570196887
Experiment 2,D-CM-CC,6,30.416666667,15.9602932684271
Experiment 2,D-CM-CC,6,34.016666667,15.9777011906136
Experiment 2,D-CM-CC,6,35.816666667,16.0085154781895
Experiment 2,D-CM-CC,8,0,7.26059628893365
Experiment 2,D-CM-CC,8,1.616666667,11.5018352452694
Experiment 2,D-CM-CC,8,3.416666667,13.5451381925513
Experiment 2,D-CM-CC,8,5.216666667,14.6510000363049
Experiment 2,D-CM-CC,8,7.016666667,15.4551179158295
Experiment 2,D-CM-CC,8,8.816666667,16.0932476658695
Experiment 2,D-CM-CC,8,10.616666667,16.7068943225334
Experiment 2,D-CM-CC,8,12.416666667,17.1867849017173
Experiment 2,D-CM-CC,8,14.216666667,17.5574038403949
Experiment 2,D-CM-CC,8,16.016666667,17.9369070062078
Experiment 2,D-CM-CC,8,17.816666667,18.2425865655376
Experiment 2,D-CM-CC,8,19.616666667,18.4963529085528
Experiment 2,D-CM-CC,8,26.816666667,18.7173900683668
Experiment 2,D-CM-CC,8,28.616666667,18.8028763727214
Experiment 2,D-CM-CC,8,30.416666667,18.8028763727214
Experiment 2,D-CM-CC,8,34.016666667,18.858937508423
Experiment 2,D-CM-CC,8,35.816666667,18.9420058741253
