Experiment,Treatment,Replicate,SOAV,time (h)
exper,treat,rep,oav,time
Experiment 1,CC-CM,1,28.48,1.58
Experiment 1,CC-CM,2,25.80,1.58
Experiment 1,CC-CM,3,32.73,1.58
Experiment 1,D-CM,1,47.80,1.58
Experiment 1,D-CM,2,68.07,1.58
Experiment 1,D-CM,3,55.82,1.58
Experiment 1,U-CM,1,51.32,1.58
Experiment 1,U-CM,2,67.97,1.58
Experiment 1,U-CM,3,60.99,1.58
Experiment 2,CC-CM,1,80.40,1.82
Experiment 2,CC-CM,2,61.41,1.82
Experiment 2,CC-CM,3,69.68,1.82
Experiment 2,D-CM,1,137.32,1.82
Experiment 2,D-CM,2,115.83,1.82
Experiment 2,D-CM,3,154.73,1.82
Experiment 2,U-CM,1,178.04,1.82
Experiment 2,U-CM,2,185.10,1.82
Experiment 2,U-CM,3,174.88,1.82
Experiment 1,CC-CM,1,24.54,3.17
Experiment 1,CC-CM,2,22.59,3.17
Experiment 1,CC-CM,3,26.24,3.17
Experiment 1,D-CM,1,47.81,3.17
Experiment 1,D-CM,2,58.95,3.17
Experiment 1,D-CM,3,51.55,3.17
Experiment 1,U-CM,1,44.42,3.17
Experiment 1,U-CM,2,57.52,3.17
Experiment 1,U-CM,3,52.62,3.17
Experiment 2,CC-CM,1,51.07,3.64
Experiment 2,CC-CM,2,32.75,3.64
Experiment 2,CC-CM,3,39.41,3.64
Experiment 2,D-CM,1,96.53,3.64
Experiment 2,D-CM,2,87.87,3.64
Experiment 2,D-CM,3,107.38,3.64
Experiment 2,U-CM,1,154.98,3.64
Experiment 2,U-CM,2,158.60,3.64
Experiment 2,U-CM,3,119.62,3.64
Experiment 1,CC-CM,1,19.25,4.75
Experiment 1,CC-CM,2,19.21,4.75
Experiment 1,CC-CM,3,23.05,4.75
Experiment 1,D-CM,1,40.73,4.75
Experiment 1,D-CM,2,49.15,4.75
Experiment 1,D-CM,3,43.45,4.75
Experiment 1,U-CM,1,39.19,4.75
Experiment 1,U-CM,2,54.47,4.75
Experiment 1,U-CM,3,48.11,4.75
Experiment 2,CC-CM,1,26.83,5.46
Experiment 2,CC-CM,2,16.02,5.46
Experiment 2,CC-CM,3,21.88,5.46
Experiment 2,D-CM,1,98.07,5.46
Experiment 2,D-CM,2,50.21,5.46
Experiment 2,D-CM,3,62.19,5.46
Experiment 2,U-CM,1,129.92,5.46
Experiment 2,U-CM,2,135.88,5.46
Experiment 2,U-CM,3,88.55,5.46
Experiment 1,CC-CM,1,16.69,6.33
Experiment 1,CC-CM,2,16.14,6.33
Experiment 1,CC-CM,3,18.29,6.33
Experiment 1,D-CM,1,37.37,6.33
Experiment 1,D-CM,2,44.85,6.33
Experiment 1,D-CM,3,35.62,6.33
Experiment 1,U-CM,1,39.19,6.33
Experiment 1,U-CM,2,50.36,6.33
Experiment 1,U-CM,3,41.40,6.33
Experiment 2,CC-CM,1,21.17,7.28
Experiment 2,CC-CM,2,13.36,7.28
Experiment 2,CC-CM,3,16.97,7.28
Experiment 2,D-CM,1,35.60,7.28
Experiment 2,D-CM,2,34.37,7.28
Experiment 2,D-CM,3,38.50,7.28
Experiment 2,U-CM,1,106.32,7.28
Experiment 2,U-CM,2,100.11,7.28
Experiment 2,U-CM,3,53.62,7.28
Experiment 1,CC-CM,1,11.30,7.92
Experiment 1,CC-CM,2,12.03,7.92
Experiment 1,CC-CM,3,15.25,7.92
Experiment 1,D-CM,1,29.53,7.92
Experiment 1,D-CM,2,37.59,7.92
Experiment 1,D-CM,3,33.54,7.92
Experiment 1,U-CM,1,29.61,7.92
Experiment 1,U-CM,2,44.12,7.92
Experiment 1,U-CM,3,39.04,7.92
Experiment 2,CC-CM,1,15.81,9.1
Experiment 2,CC-CM,2,10.89,9.1
Experiment 2,CC-CM,3,11.36,9.1
Experiment 2,D-CM,1,25.31,9.1
Experiment 2,D-CM,2,22.66,9.1
Experiment 2,D-CM,3,24.84,9.1
Experiment 2,U-CM,1,71.56,9.1
Experiment 2,U-CM,2,65.48,9.1
Experiment 2,U-CM,3,29.70,9.1
Experiment 1,CC-CM,1,6.21,9.5
Experiment 1,CC-CM,2,6.51,9.5
Experiment 1,CC-CM,3,7.80,9.5
Experiment 1,D-CM,1,26.90,9.5
Experiment 1,D-CM,2,16.22,9.5
Experiment 1,D-CM,3,14.67,9.5
Experiment 1,U-CM,1,13.29,9.5
Experiment 1,U-CM,2,19.46,9.5
Experiment 1,U-CM,3,16.16,9.5
Experiment 2,CC-CM,1,10.58,10.92
Experiment 2,CC-CM,2,7.42,10.92
Experiment 2,CC-CM,3,9.88,10.92
Experiment 2,D-CM,1,21.36,10.92
Experiment 2,D-CM,2,20.25,10.92
Experiment 2,D-CM,3,20.77,10.92
Experiment 2,U-CM,1,45.68,10.92
Experiment 2,U-CM,2,39.75,10.92
Experiment 2,U-CM,3,19.19,10.92
Experiment 1,CC-CM,1,7.06,11.08
Experiment 1,CC-CM,2,7.17,11.08
Experiment 1,CC-CM,3,9.02,11.08
Experiment 1,D-CM,1,24.07,11.08
Experiment 1,D-CM,2,28.57,11.08
Experiment 1,D-CM,3,23.56,11.08
Experiment 1,U-CM,1,24.58,11.08
Experiment 1,U-CM,2,32.74,11.08
Experiment 1,U-CM,3,27.91,11.08
Experiment 2,CC-CM,1,8.57,12.74
Experiment 2,CC-CM,2,7.38,12.74
Experiment 2,CC-CM,3,8.65,12.74
Experiment 2,D-CM,1,16.94,12.74
Experiment 2,D-CM,2,14.09,12.74
Experiment 2,D-CM,3,17.73,12.74
Experiment 2,U-CM,1,30.50,12.74
Experiment 2,U-CM,2,28.85,12.74
Experiment 2,U-CM,3,19.61,12.74
Experiment 1,CC-CM,1,4.79,12.67
Experiment 1,CC-CM,2,4.33,12.67
Experiment 1,CC-CM,3,6.77,12.67
Experiment 1,D-CM,1,18.89,12.67
Experiment 1,D-CM,2,21.87,12.67
Experiment 1,D-CM,3,19.97,12.67
Experiment 1,U-CM,1,19.72,12.67
Experiment 1,U-CM,2,26.96,12.67
Experiment 1,U-CM,3,23.12,12.67
Experiment 2,CC-CM,1,7.32,14.56
Experiment 2,CC-CM,2,5.37,14.56
Experiment 2,CC-CM,3,5.92,14.56
Experiment 2,D-CM,1,12.98,14.56
Experiment 2,D-CM,2,11.84,14.56
Experiment 2,D-CM,3,12.12,14.56
Experiment 2,U-CM,1,23.04,14.56
Experiment 2,U-CM,2,24.65,14.56
Experiment 2,U-CM,3,15.43,14.56
Experiment 1,CC-CM,1,3.97,14.25
Experiment 1,CC-CM,2,3.97,14.25
Experiment 1,CC-CM,3,4.06,14.25
Experiment 1,D-CM,1,15.02,14.25
Experiment 1,D-CM,2,15.75,14.25
Experiment 1,D-CM,3,14.48,14.25
Experiment 1,U-CM,1,15.26,14.25
Experiment 1,U-CM,2,20.39,14.25
Experiment 1,U-CM,3,19.02,14.25
Experiment 2,CC-CM,1,4.30,16.38
Experiment 2,CC-CM,2,4.94,16.38
Experiment 2,CC-CM,3,5.61,16.38
Experiment 2,D-CM,1,20.33,16.38
Experiment 2,D-CM,2,10.82,16.38
Experiment 2,D-CM,3,10.85,16.38
Experiment 2,U-CM,1,16.80,16.38
Experiment 2,U-CM,2,18.49,16.38
Experiment 2,U-CM,3,15.66,16.38
Experiment 1,CC-CM,1,2.85,15.83
Experiment 1,CC-CM,2,2.97,15.83
Experiment 1,CC-CM,3,3.46,15.83
Experiment 1,D-CM,1,10.68,15.83
Experiment 1,D-CM,2,12.69,15.83
Experiment 1,D-CM,3,12.00,15.83
Experiment 1,U-CM,1,11.88,15.83
Experiment 1,U-CM,2,17.50,15.83
Experiment 1,U-CM,3,16.26,15.83
Experiment 2,CC-CM,1,2.75,18.2
Experiment 2,CC-CM,2,3.48,18.2
Experiment 2,CC-CM,3,5.11,18.2
Experiment 2,D-CM,1,7.31,18.2
Experiment 2,D-CM,2,8.48,18.2
Experiment 2,D-CM,3,8.64,18.2
Experiment 2,U-CM,1,15.67,18.2
Experiment 2,U-CM,2,15.46,18.2
Experiment 2,U-CM,3,12.98,18.2
Experiment 1,CC-CM,1,3.32,17.42
Experiment 1,CC-CM,2,2.28,17.42
Experiment 1,CC-CM,3,2.50,17.42
Experiment 1,D-CM,1,7.66,17.42
Experiment 1,D-CM,2,10.12,17.42
Experiment 1,D-CM,3,10.72,17.42
Experiment 1,U-CM,1,11.25,17.42
Experiment 1,U-CM,2,16.15,17.42
Experiment 1,U-CM,3,15.61,17.42
Experiment 2,CC-CM,1,2.72,20.02
Experiment 2,CC-CM,2,4.80,20.02
Experiment 2,CC-CM,3,3.79,20.02
Experiment 2,D-CM,1,5.14,20.02
Experiment 2,D-CM,2,4.99,20.02
Experiment 2,D-CM,3,7.92,20.02
Experiment 2,U-CM,1,12.68,20.02
Experiment 2,U-CM,2,12.86,20.02
Experiment 2,U-CM,3,14.72,20.02
Experiment 2,CC-CM,1,2.83,21.84
Experiment 2,CC-CM,2,2.37,21.84
Experiment 2,CC-CM,3,3.80,21.84
Experiment 2,D-CM,1,1.95,21.84
Experiment 2,D-CM,2,1.80,21.84
Experiment 2,D-CM,3,4.90,21.84
Experiment 2,U-CM,1,4.35,21.84
Experiment 2,U-CM,2,11.87,21.84
Experiment 2,U-CM,3,12.44,21.84
Experiment 2,CC-CM,1,1.90,23.66
Experiment 2,CC-CM,2,1.16,23.66
Experiment 2,CC-CM,3,2.90,23.66
Experiment 2,D-CM,1,0.52,23.66
Experiment 2,D-CM,2,2.02,23.66
Experiment 2,D-CM,3,2.05,23.66
Experiment 2,U-CM,1,8.91,23.66
Experiment 2,U-CM,2,10.42,23.66
Experiment 2,U-CM,3,9.20,23.66
Experiment 2,CC-CM,1,3.45,25.48
Experiment 2,CC-CM,2,1.79,25.48
Experiment 2,CC-CM,3,0.92,25.48
Experiment 2,D-CM,1,1.64,25.48
Experiment 2,D-CM,2,1.52,25.48
Experiment 2,D-CM,3,2.77,25.48
Experiment 2,U-CM,1,7.98,25.48
Experiment 2,U-CM,2,7.78,25.48
Experiment 2,U-CM,3,7.26,25.48
Experiment 2,CC-CM,1,2.81,27.3
Experiment 2,CC-CM,2,0.67,27.3
Experiment 2,CC-CM,3,0.41,27.3
Experiment 2,D-CM,1,2.17,27.3
Experiment 2,D-CM,2,0.66,27.3
Experiment 2,D-CM,3,1.00,27.3
Experiment 2,U-CM,1,6.15,27.3
Experiment 2,U-CM,2,4.46,27.3
Experiment 2,U-CM,3,3.25,27.3
Experiment 2,CC-CM,1,2.18,29.12
Experiment 2,CC-CM,2,0.79,29.12
Experiment 2,CC-CM,3,1.45,29.12
Experiment 2,D-CM,1,1.60,29.12
Experiment 2,D-CM,2,1.44,29.12
Experiment 2,D-CM,3,1.76,29.12
Experiment 2,U-CM,1,4.85,29.12
Experiment 2,U-CM,2,4.13,29.12
Experiment 2,U-CM,3,3.23,29.12
Experiment 2,CC-CM,1,2.24,30.94
Experiment 2,CC-CM,2,0.93,30.94
Experiment 2,CC-CM,3,1.00,30.94
Experiment 2,D-CM,1,1.27,30.94
Experiment 2,D-CM,2,0.56,30.94
Experiment 2,D-CM,3,1.29,30.94
Experiment 2,U-CM,1,3.79,30.94
Experiment 2,U-CM,2,2.92,30.94
Experiment 2,U-CM,3,3.61,30.94
